# Formato: numero,tipo, precio, [estado]

101,	Simple,	45.000,	disponible
102,	Simple,	45.000,	ocupada
103,	Doble,	65.000,	disponible
104,	Doble,	65.000,	disponible
105,	Suite Junior,	85.000,	ocupada
106,	Suite Junior,	85.000,	disponible
107,	Suite Ejecutiva,	110.000,	en limpieza
108,	Suite Ejecutiva,	110.000,	disponible
109,	Familiar,	95.000,	ocupada
110,	Familiar,	95.000,	disponible
201,    Simple,	50.000,	disponible
202,    Doble,	70.000,	disponible
203,	Suite Presidencial,	180.000,	disponible
204,	Familiar,	100.000,	mantenimiento
205,	Suite Ejecutiva,	115.000,	disponible

